"codigo_ine","municipio","provincia","departamento","superficie","poblacion","densidad","municipio_alt"
"021101","Chulumani","Sud Yungas","La Paz",286.6,18278,63.78,NA
"021102","Irupana","Sud Yungas","La Paz",1389,23076,16.61,NA
"021103","Yanacachi","Sud Yungas","La Paz",579.8,7583,13.08,NA
"021104","Palos Blancos","Sud Yungas","La Paz",3605,26995,7.49,NA
"021105","La Asunta","Sud Yungas","La Paz",2832,45586,16.1,NA
"021201","Pucarani","Los Andes","La Paz",940.8,49701,52.83,NA
"021202","Laja","Los Andes","La Paz",690.4,38612,55.93,NA
"021203","Batallas","Los Andes","La Paz",993.9,20503,20.63,NA
"021204","Puerto Pérez","Los Andes","La Paz",126.8,7874,62.1,NA
"021301","Sica Sica","Aroma","La Paz",1742,33546,19.26,NA
"021302","Umala","Aroma","La Paz",860.4,9021,10.48,NA
"021303","Ayo Ayo","Aroma","La Paz",491.6,11251,22.89,NA
"021304","Calamarca","Aroma","La Paz",495.6,15279,30.83,NA
"021305","Patacamaya","Aroma","La Paz",570.9,25049,43.88,NA
"021306","Colquencha","Aroma","La Paz",305.3,12344,40.43,NA
"021307","Collana","Aroma","La Paz",125.6,5525,43.99,NA
"021401","Coroico","Nor Yungas","La Paz",952.1,27531,28.92,NA
"021402","Coripata","Nor Yungas","La Paz",346.2,23910,69.06,NA
"021501","Ixiamas","Iturralde","La Paz",37453,12487,0.33,NA
"021502","San Buenaventura","Iturralde","La Paz",2839,10115,3.56,NA
"021601","Charazani","Bautista Saavedra","La Paz",2592,15854,6.12,NA
"021602","Curva","Bautista Saavedra","La Paz",601.2,6423,10.68,NA
"021701","Copacabana","Manco Kapac","La Paz",177.1,17431,98.42,NA
"021702","San Pedro de Tiquina","Manco Kapac","La Paz",61.2,9097,148.64,NA
"021703","Tito Yupanqui","Manco Kapac","La Paz",14.9,7512,504.16,NA
"021801","San Pedro de Curahuara","Gualberto Villarroel","La Paz",733.3,9044,12.33,NA
"021802","Papel Pampa","Gualberto Villarroel","La Paz",914.1,6222,6.81,NA
"021803","Chacarilla","Gualberto Villarroel","La Paz",370,2031,5.49,NA
"021901","Santiago de Machaca","General José Manuel Pando","La Paz",1276,6766,5.3,NA
"021902","Catacora","General José Manuel Pando","La Paz",563.2,5326,9.46,NA
"022001","Caranavi","Caranavi","La Paz",2100,59034,28.11,NA
"022002","Alto Beni","Caranavi","La Paz",950,10499,11.05,NA
"030101","Cochabamba","Cercado","Cochabamba",289.3,661484,2286.5,NA
"030201","Aiquile","Campero","Cochabamba",2723,23000,8.45,NA
"030202","Pasorapa","Campero","Cochabamba",2389,6468,2.71,NA
"030203","Omereque","Campero","Cochabamba",759.3,6678,8.79,NA
"030301","Independencia","Ayopaya","Cochabamba",1514,21717,14.34,NA
"030302","Morochata","Ayopaya","Cochabamba",600,14598,24.33,NA
"030303","Cocapata","Ayopaya","Cochabamba",6800,19467,2.86,NA
"030401","Tarata","Esteban Arze","Cochabamba",338.4,11235,33.2,NA
"030402","Anzaldo","Esteban Arze","Cochabamba",646.6,7322,11.32,NA
"030403","Arbieto","Esteban Arze","Cochabamba",147.2,30454,206.89,NA
"030404","Sacabamba","Esteban Arze","Cochabamba",185.7,4953,26.67,NA
"030501","Arani","Arani","Cochabamba",216.3,11411,52.76,NA
"030502","Vacas","Arani","Cochabamba",360.9,8425,23.34,NA
"030601","Arque","Arque","Cochabamba",516.8,10635,20.58,NA
"030602","Tacopaya","Arque","Cochabamba",554.9,10549,19.01,NA
"030701","Capinota","Capinota","Cochabamba",542.9,19291,35.53,NA
"030702","Santiváñez","Capinota","Cochabamba",307.3,7868,25.6,NA
"030703","Sicaya","Capinota","Cochabamba",132.7,3949,29.76,NA
"030801","Cliza","Germán Jordán","Cochabamba",54.3,20877,384.48,NA
"030802","Toco","Germán Jordán","Cochabamba",63.8,7208,112.98,NA
"030803","Tolata","Germán Jordán","Cochabamba",84,7372,87.76,NA
"030901","Quillacollo","Quillacollo","Cochabamba",565.3,165830,293.35,NA
"030902","Sipe Sipe","Quillacollo","Cochabamba",480.5,55601,115.71,NA
"030903","Tiquipaya","Quillacollo","Cochabamba",344.4,61600,178.86,NA
"030904","Vinto","Quillacollo","Cochabamba",217.9,55773,255.96,NA
"030905","Colcapirhua","Quillacollo","Cochabamba",28.8,66235,2299.83,NA
"031001","Sacaba","Chapare","Cochabamba",701.8,218502,311.35,NA
"031002","Colomi","Chapare","Cochabamba",559.7,19318,34.51,NA
"031003","Villa Tunari","Chapare","Cochabamba",14561,95588,6.56,NA
"031101","Tapacarí","Tapacarí","Cochabamba",1651,24534,14.86,NA
"031201","Totora","Carrasco","Cochabamba",2157,14766,6.85,NA
"031202","Pojo","Carrasco","Cochabamba",2392,11840,4.95,NA
"031203","Pocona","Carrasco","Cochabamba",838.6,12216,14.57,NA
"031204","Chimoré","Carrasco","Cochabamba",2740,27374,9.99,NA
"031205","Puerto Villarroel","Carrasco","Cochabamba",2241,64345,28.71,NA
"031206","Entre Ríos","Carrasco","Cochabamba",2101,45520,21.67,NA
"031301","Mizque","Mizque","Cochabamba",1895,19846,10.47,NA
"031302","Vila Vila","Mizque","Cochabamba",601.6,5220,8.68,NA
"031303","Alalay","Mizque","Cochabamba",423.1,3461,8.18,NA
"031401","Punata","Punata","Cochabamba",85.9,34813,405.27,NA
"031402","Villa Rivero","Punata","Cochabamba",103,8551,83.02,NA
"031403","San Benito","Punata","Cochabamba",141.7,12924,91.21,NA
"031404","Tacachi","Punata","Cochabamba",12.4,1276,102.9,NA
"031405","Cuchumuela","Punata","Cochabamba",63.6,3818,60.03,NA
"031501","Bolívar","Bolívar","Cochabamba",724,8197,11.32,NA
"031601","Tiraque","Tiraque","Cochabamba",2650,18190,6.86,NA
"031602","Shinahota","Tiraque","Cochabamba",737.81,27067,36.69,NA
"040101","Oruro","Cercado","Oruro",276.2,297497,1077.11,NA
"040102","Caracollo","Cercado","Oruro",2364,23068,9.76,NA
"040103","El Choro","Cercado","Oruro",1119,10393,9.29,NA
"040104","Paria","Cercado","Oruro",1373,15675,11.42,NA
"040201","Challapata","Abaroa","Oruro",2586,35339,13.67,NA
"040202","Quillacas","Abaroa","Oruro",921.7,5105,5.54,NA
"040301","Corque","Carangas","Oruro",3380,16020,4.74,NA
"040302","Choquecota","Carangas","Oruro",849.9,2980,3.51,NA
"040401","Curahuara de Carangas","Sajama","Oruro",2866,6671,2.33,NA
"040402","Turco","Sajama","Oruro",4895,5277,1.08,NA
"040501","Huachacalla","Litoral","Oruro",20.8,3974,191.06,NA
"040502","Escara","Litoral","Oruro",1166,4194,3.6,NA
"040503","Cruz de Machacamarca","Litoral","Oruro",524.5,1511,2.88,NA
"040504","Yunguyo de Litoral","Litoral","Oruro",176.8,882,4.99,NA
"040505","Esmeralda","Litoral","Oruro",606.1,3883,6.41,NA
"040601","Poopó","Poopó","Oruro",704.2,9152,13,NA
"040602","Pazña","Poopó","Oruro",740,4220,5.7,NA
"040603","Antequera","Poopó","Oruro",283.9,3614,12.73,NA
"040701","Huanuni","Dalence","Oruro",553.1,20028,36.21,NA
"040702","Machacamarca","Dalence","Oruro",306.8,6096,19.87,NA
"040801","Salinas de Garci Mendoza","Ladislao Cabrera","Oruro",4924,15906,3.23,NA
"040802","Pampa Aullagas","Ladislao Cabrera","Oruro",1062,3180,2.99,NA
